date;club;country;elo
01/07/2000;Alaves;ESP;177322
01/07/2000;Albacete;ESP;157879
01/07/2000;Ath Bilbao;ESP;177866
01/07/2000;Ath Madrid;ESP;171355
01/07/2000;Atletico B;ESP;156254
01/07/2000;Badajoz;ESP;155570
01/07/2000;Barcelona;ESP;188737
01/07/2000;Betis;ESP;171135
01/07/2000;Celta;ESP;181033
01/07/2000;Compostela;ESP;157870
01/07/2000;Cordoba;ESP;154015
01/07/2000;Eibar;ESP;157633
01/07/2000;Elche;ESP;153162
01/07/2000;Espanol;ESP;178589
01/07/2000;Extremadura;ESP;160405
01/07/2000;Getafe;ESP;150274
01/07/2000;La Coruna;ESP;184494
01/07/2000;Las Palmas;ESP;165288
01/07/2000;Leganes;ESP;157261
01/07/2000;Levante;ESP;154941
01/07/2000;Lleida;ESP;160660
01/07/2000;Logrones;ESP;153215
01/07/2000;Malaga;ESP;173642
01/07/2000;Mallorca;ESP;180035
01/07/2000;Merida;ESP;162857
01/07/2000;Numancia;ESP;169013
01/07/2000;Osasuna;ESP;161591
01/07/2000;Oviedo;ESP;172345
01/07/2000;Real Madrid;ESP;188402
01/07/2000;Recreativo;ESP;152314
01/07/2000;Salamanca;ESP;160990
01/07/2000;Santander;ESP;175487
01/07/2000;Sevilla;ESP;162598
01/07/2000;Sociedad;ESP;177734
01/07/2000;Sp Gijon;ESP;159028
01/07/2000;Tenerife;ESP;159264
01/07/2000;Toledo;ESP;151864
01/07/2000;Valencia;ESP;190436
01/07/2000;Valladolid;ESP;176568
01/07/2000;Vallecano;ESP;171515
01/07/2000;Villarreal;ESP;165191
01/07/2000;Zaragoza;ESP;184778
15/07/2000;Alaves;ESP;177322
15/07/2000;Albacete;ESP;157879
15/07/2000;Ath Bilbao;ESP;177866
15/07/2000;Ath Madrid;ESP;171355
15/07/2000;Badajoz;ESP;155570
15/07/2000;Barcelona;ESP;188737
15/07/2000;Betis;ESP;171135
15/07/2000;Celta;ESP;181033
15/07/2000;Compostela;ESP;157870
15/07/2000;Cordoba;ESP;154015
15/07/2000;Eibar;ESP;157633
15/07/2000;Elche;ESP;153162
15/07/2000;Espanol;ESP;178589
15/07/2000;Extremadura;ESP;160405
15/07/2000;Ferrol;ESP;147087
15/07/2000;Getafe;ESP;150274
15/07/2000;Jaen;ESP;147087
15/07/2000;La Coruna;ESP;184494
15/07/2000;Las Palmas;ESP;165288
15/07/2000;Leganes;ESP;157261
15/07/2000;Levante;ESP;154941
15/07/2000;Lleida;ESP;160660
15/07/2000;Malaga;ESP;173642
15/07/2000;Mallorca;ESP;180035
15/07/2000;Murcia;ESP;147087
15/07/2000;Numancia;ESP;169013
15/07/2000;Osasuna;ESP;161591
15/07/2000;Oviedo;ESP;172345
15/07/2000;Real Madrid;ESP;188402
15/07/2000;Recreativo;ESP;152314
15/07/2000;Salamanca;ESP;160990
15/07/2000;Santander;ESP;175487
15/07/2000;Sevilla;ESP;162598
15/07/2000;Sociedad;ESP;177734
15/07/2000;Sp Gijon;ESP;159028
15/07/2000;Tenerife;ESP;159264
15/07/2000;U.Las Palmas;ESP;147087
15/07/2000;Valencia;ESP;190436
15/07/2000;Valladolid;ESP;176568
15/07/2000;Vallecano;ESP;171515
15/07/2000;Villarreal;ESP;165191
15/07/2000;Zaragoza;ESP;184778
01/08/2000;Alaves;ESP;177322
01/08/2000;Albacete;ESP;157879
01/08/2000;Ath Bilbao;ESP;177866
01/08/2000;Ath Madrid;ESP;171355
01/08/2000;Badajoz;ESP;155570
01/08/2000;Barcelona;ESP;188737
01/08/2000;Betis;ESP;171135
01/08/2000;Celta;ESP;181033
01/08/2000;Compostela;ESP;157870
01/08/2000;Cordoba;ESP;154015
01/08/2000;Eibar;ESP;157633
01/08/2000;Elche;ESP;153162
01/08/2000;Espanol;ESP;178589
01/08/2000;Extremadura;ESP;160405
01/08/2000;Ferrol;ESP;147087
01/08/2000;Getafe;ESP;150274
01/08/2000;Jaen;ESP;147087
01/08/2000;La Coruna;ESP;184494
01/08/2000;Las Palmas;ESP;165288
01/08/2000;Leganes;ESP;157261
01/08/2000;Levante;ESP;154941
01/08/2000;Lleida;ESP;160660
01/08/2000;Malaga;ESP;173642
01/08/2000;Mallorca;ESP;180035
01/08/2000;Murcia;ESP;147087
01/08/2000;Numancia;ESP;169013
01/08/2000;Osasuna;ESP;161591
01/08/2000;Oviedo;ESP;172345
01/08/2000;Real Madrid;ESP;188402
01/08/2000;Recreativo;ESP;152314
01/08/2000;Salamanca;ESP;160990
01/08/2000;Santander;ESP;175487
01/08/2000;Sevilla;ESP;162598
01/08/2000;Sociedad;ESP;177734
01/08/2000;Sp Gijon;ESP;159028
01/08/2000;Tenerife;ESP;159264
01/08/2000;U.Las Palmas;ESP;147087
01/08/2000;Valencia;ESP;190436
01/08/2000;Valladolid;ESP;176568
01/08/2000;Vallecano;ESP;171515
01/08/2000;Villarreal;ESP;165191
01/08/2000;Zaragoza;ESP;184778
15/08/2000;Alaves;ESP;177294
15/08/2000;Albacete;ESP;157851
15/08/2000;Ath Bilbao;ESP;177838
15/08/2000;Ath Madrid;ESP;171326
15/08/2000;Badajoz;ESP;155541
15/08/2000;Barcelona;ESP;188708
15/08/2000;Betis;ESP;171106
15/08/2000;Celta;ESP;181004
15/08/2000;Compostela;ESP;157841
15/08/2000;Cordoba;ESP;153986
15/08/2000;Eibar;ESP;157604
15/08/2000;Elche;ESP;153133
15/08/2000;Espanol;ESP;178561
15/08/2000;Extremadura;ESP;160376
15/08/2000;Ferrol;ESP;147058
15/08/2000;Getafe;ESP;150246
15/08/2000;Jaen;ESP;147058
15/08/2000;La Coruna;ESP;184465
15/08/2000;Las Palmas;ESP;165259
15/08/2000;Leganes;ESP;157232
15/08/2000;Levante;ESP;154912
15/08/2000;Lleida;ESP;160631
15/08/2000;Malaga;ESP;173613
15/08/2000;Mallorca;ESP;180006
15/08/2000;Murcia;ESP;147058
15/08/2000;Numancia;ESP;168984
15/08/2000;Osasuna;ESP;161562
15/08/2000;Oviedo;ESP;172316
15/08/2000;Real Madrid;ESP;188373
15/08/2000;Recreativo;ESP;152285
15/08/2000;Salamanca;ESP;160961
15/08/2000;Santander;ESP;175459
15/08/2000;Sevilla;ESP;162570
15/08/2000;Sociedad;ESP;177705
15/08/2000;Sp Gijon;ESP;158999
15/08/2000;Tenerife;ESP;159235
15/08/2000;U.Las Palmas;ESP;147058
15/08/2000;Valencia;ESP;190324
15/08/2000;Valladolid;ESP;176540
15/08/2000;Vallecano;ESP;171489
15/08/2000;Villarreal;ESP;165162
15/08/2000;Zaragoza;ESP;184750
01/09/2000;Alaves;ESP;177397
01/09/2000;Albacete;ESP;157953
01/09/2000;Ath Bilbao;ESP;177940
01/09/2000;Ath Madrid;ESP;171429
01/09/2000;Badajoz;ESP;155644
01/09/2000;Barcelona;ESP;188811
01/09/2000;Betis;ESP;171209
01/09/2000;Celta;ESP;181107
01/09/2000;Compostela;ESP;157944
01/09/2000;Cordoba;ESP;154089
01/09/2000;Eibar;ESP;157707
01/09/2000;Elche;ESP;153236
01/09/2000;Espanol;ESP;178664
01/09/2000;Extremadura;ESP;160479
01/09/2000;Ferrol;ESP;147161
01/09/2000;Getafe;ESP;150348
01/09/2000;Jaen;ESP;147161
01/09/2000;La Coruna;ESP;184568
01/09/2000;Las Palmas;ESP;165362
01/09/2000;Leganes;ESP;157335
01/09/2000;Levante;ESP;155015
01/09/2000;Lleida;ESP;160734
01/09/2000;Malaga;ESP;173716
01/09/2000;Mallorca;ESP;180109
01/09/2000;Murcia;ESP;147161
01/09/2000;Numancia;ESP;169087
01/09/2000;Osasuna;ESP;161665
01/09/2000;Oviedo;ESP;172419
01/09/2000;Real Madrid;ESP;188476
01/09/2000;Recreativo;ESP;152388
01/09/2000;Salamanca;ESP;161064
01/09/2000;Santander;ESP;175562
01/09/2000;Sevilla;ESP;162672
01/09/2000;Sociedad;ESP;177808
01/09/2000;Sp Gijon;ESP;159102
01/09/2000;Tenerife;ESP;159338
01/09/2000;U.Las Palmas;ESP;147161
01/09/2000;Valencia;ESP;190714
01/09/2000;Valladolid;ESP;176642
01/09/2000;Vallecano;ESP;171593
01/09/2000;Villarreal;ESP;165265
01/09/2000;Zaragoza;ESP;184853
15/09/2000;Alaves;ESP;178798
15/09/2000;Albacete;ESP;159057
15/09/2000;Ath Bilbao;ESP;177492
15/09/2000;Ath Madrid;ESP;168475
15/09/2000;Badajoz;ESP;154732
15/09/2000;Barcelona;ESP;189894
15/09/2000;Betis;ESP;169860
15/09/2000;Celta;ESP;182023
15/09/2000;Compostela;ESP;159270
15/09/2000;Cordoba;ESP;154236
15/09/2000;Eibar;ESP;157145
15/09/2000;Elche;ESP;155918
15/09/2000;Espanol;ESP;180021
15/09/2000;Extremadura;ESP;160518
15/09/2000;Ferrol;ESP;145755
15/09/2000;Getafe;ESP;151362
15/09/2000;Jaen;ESP;149169
15/09/2000;La Coruna;ESP;185345
15/09/2000;Las Palmas;ESP;164326
15/09/2000;Leganes;ESP;158430
15/09/2000;Levante;ESP;157089
15/09/2000;Lleida;ESP;160453
15/09/2000;Malaga;ESP;173613
15/09/2000;Mallorca;ESP;179976
15/09/2000;Murcia;ESP;147212
15/09/2000;Numancia;ESP;169955
15/09/2000;Osasuna;ESP;161114
15/09/2000;Oviedo;ESP;171915
15/09/2000;Real Madrid;ESP;188985
15/09/2000;Recreativo;ESP;153838
15/09/2000;Salamanca;ESP;159208
15/09/2000;Santander;ESP;176033
15/09/2000;Sevilla;ESP;164064
15/09/2000;Sociedad;ESP;177702
15/09/2000;Sp Gijon;ESP;158168
15/09/2000;Tenerife;ESP;159480
15/09/2000;U.Las Palmas;ESP;146911
15/09/2000;Valencia;ESP;190506
15/09/2000;Valladolid;ESP;177141
15/09/2000;Vallecano;ESP;173434
15/09/2000;Villarreal;ESP;163789
15/09/2000;Zaragoza;ESP;183860
01/10/2000;Alaves;ESP;177593
01/10/2000;Albacete;ESP;155809
01/10/2000;Ath Bilbao;ESP;177556
01/10/2000;Ath Madrid;ESP;167424
01/10/2000;Badajoz;ESP;155466
01/10/2000;Barcelona;ESP;185277
01/10/2000;Betis;ESP;169328
01/10/2000;Celta;ESP;183020
01/10/2000;Compostela;ESP;157031
01/10/2000;Cordoba;ESP;153619
01/10/2000;Eibar;ESP;157899
01/10/2000;Elche;ESP;154474
01/10/2000;Espanol;ESP;177564
01/10/2000;Extremadura;ESP;159425
01/10/2000;Ferrol;ESP;145960
01/10/2000;Getafe;ESP;148684
01/10/2000;Jaen;ESP;149187
01/10/2000;La Coruna;ESP;186534
01/10/2000;Las Palmas;ESP;164373
01/10/2000;Leganes;ESP;158528
01/10/2000;Levante;ESP;157417
01/10/2000;Lleida;ESP;156811
01/10/2000;Malaga;ESP;174446
01/10/2000;Mallorca;ESP;177528
01/10/2000;Murcia;ESP;147540
01/10/2000;Numancia;ESP;168028
01/10/2000;Osasuna;ESP;162134
01/10/2000;Oviedo;ESP;170212
01/10/2000;Real Madrid;ESP;189649
01/10/2000;Recreativo;ESP;153897
01/10/2000;Salamanca;ESP;160165
01/10/2000;Santander;ESP;173991
01/10/2000;Sevilla;ESP;164983
