Equipo,Latitud,Longitud
Real Madrid,40.4531,-3.6883
Barcelona,41.3809,2.1228
Ath Madrid,40.4362,-3.5995
Sevilla,37.3840,-5.9705
Betis,37.3565,-5.9817
Valencia,39.4746,-0.3582
Ath Bilbao,43.2642,-2.9494
Sociedad,43.3014,-1.9736
Villarreal,39.9442,-0.1031
Celta,42.2118,-8.7397
Espanyol,41.3478,2.0755
Espanol,41.3478,2.0755
Osasuna,42.7966,-1.6371
Vallecano,40.3917,-3.6586
Alaves,42.8371,-2.6881
Mallorca,39.5900,2.6300
Getafe,40.3256,-3.7147
Granada,37.1525,-3.5958
Valladolid,41.6443,-4.7611
Levante,39.4947,-0.3639
Almeria,36.8340,-2.4354
Cadiz,36.5024,-6.2725
Las Palmas,28.1001,-15.4565
Eibar,43.1818,-2.4754
Santander,43.4764,-3.7932
Zaragoza,41.6366,-0.9018
Malaga,36.7341,-4.4265
Deportivo,43.3687,-8.4175
La Coruna,43.3687,-8.4175
Oviedo,43.3564,-5.8647
Gijon,43.5362,-5.6372
Elche,38.2670,-0.6628
Tenerife,28.4639,-16.2517
Albacete,38.9861,-1.8554
Numancia,41.7661,-2.4761
Murcia,37.9942,-1.1300
Recreativo,37.2614,-6.9314
Xerez,36.6865,-6.1244
Hercules,38.3582,-0.4914
Compostela,42.906458,-8.519298
Cordoba,37.884581,-4.776014
Extremadura,38.684679,-6.40678
Gimnastic,41.117236,1.254606
Girona,41.979301,2.819944
Huesca,42.136062,0.029803
Leganes,40.328194,-3.76527
Lerida,41.614761,0.626784
Logrones,42.46612,-2.439668
Merida,38.917467,-6.344398
Salamanca,40.965157,-5.664018
Sp Gijon,43.544942,-5.66275
Villareal,39.937262,-0.100446
